No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
55,2013,3,3,6,53.0,59.0,24.0,68.0,1399.0,6.0,-5.7
56,2013,3,3,7,52.0,62.0,25.0,68.0,1700.0,6.0,-3.3
57,2013,3,3,8,58.0,75.0,51.0,71.0,2399.0,12.0,-0.3
58,2013,3,3,9,81.0,106.0,69.0,72.0,2000.0,15.0,3.4
59,2013,3,3,10,84.0,101.0,78.0,84.0,2200.0,17.0,6.5
60,2013,3,3,11,106.0,148.0,91.0,93.0,1899.0,20.0,9.0
61,2013,3,3,12,110.0,135.0,78.0,89.0,1800.0,24.0,12.2
62,2013,3,3,13,113.0,151.0,64.0,80.0,1500.0,30.0,15.6
63,2013,3,3,14,100.0,151.0,36.0,53.0,1000.0,52.0,16.6
64,2013,3,3,15,68.0,128.0,14.0,20.0,400.0,78.0,17.0
65,2013,3,3,16,32.0,90.0,10.0,16.0,400.0,82.0,16.1
66,2013,3,3,17,21.0,71.0,27.0,21.0,400.0,76.0,13.9
67,2013,3,3,18,16.0,33.0,17.0,22.0,400.0,72.0,12.4
68,2013,3,3,19,18.0,43.0,12.0,35.0,600.0,59.0,8.9
69,2013,3,3,20,24.0,56.0,27.0,46.0,800.0,45.0,7.7
70,2013,3,3,21,29.0,55.0,27.0,42.0,700.0,47.0,6.9
71,2013,3,3,22,23.0,46.0,25.0,69.0,1300.0,19.0,6.8
72,2013,3,3,23,30.0,78.0,14.0,24.0,700.0,52.0,8.6
73,2013,3,4,0,25.0,42.0,30.0,22.0,400.0,57.0,9.2
74,2013,3,4,1,16.0,38.0,24.0,13.0,300.0,72.0,7.3
75,2013,3,4,2,8.0,31.0,29.0,14.0,300.0,74.0,6.1
76,2013,3,4,3,6.0,20.0,4.0,10.0,400.0,76.0,6.6
77,2013,3,4,4,7.0,13.0,3.0,10.0,300.0,80.0,4.8
78,2013,3,4,5,3.0,14.0,31.0,46.0,600.0,38.0,5.4
79,2013,3,4,6,10.0,24.0,43.0,43.0,500.0,39.0,4.2
80,2013,3,4,7,12.0,28.0,38.0,38.0,700.0,42.0,6.3
81,2013,3,4,8,12.0,32.0,29.0,34.0,700.0,48.0,8.9
82,2013,3,4,9,16.0,29.0,21.0,19.0,500.0,65.0,10.2
83,2013,3,4,10,14.0,23.0,16.0,12.0,400.0,76.0,11.4
84,2013,3,4,11,7.0,16.0,7.0,11.0,400.0,80.0,12.7
85,2013,3,4,12,8.0,22.0,6.0,9.0,400.0,85.0,14.6
86,2013,3,4,13,14.0,16.0,7.0,9.0,400.0,89.0,15.1
87,2013,3,4,14,11.0,13.0,14.0,11.0,400.0,91.0,16.1
88,2013,3,4,15,21.0,24.0,11.0,10.0,400.0,95.0,16.1
89,2013,3,4,16,10.0,17.0,10.0,12.0,400.0,92.0,14.8
90,2013,3,4,17,13.0,15.0,8.0,21.0,400.0,86.0,12.9
91,2013,3,4,18,17.0,29.0,14.0,40.0,500.0,81.0,11.3
92,2013,3,4,19,32.0,54.0,39.0,63.0,700.0,57.0,8.7
93,2013,3,4,20,43.0,71.0,66.0,91.0,1100.0,25.0,5.9
94,2013,3,4,21,64.0,99.0,41.0,88.0,1500.0,18.0,4.9
95,2013,3,4,22,76.0,123.0,25.0,57.0,1100.0,34.0,4.0
96,2013,3,4,23,54.0,75.0,21.0,43.0,1200.0,95.0,4.2
97,2013,3,5,0,57.0,69.0,20.0,37.0,900.0,95.0,2.8
98,2013,3,5,1,48.0,57.0,38.0,66.0,1600.0,95.0,1.8
99,2013,3,5,2,65.0,99.0,32.0,54.0,1399.0,95.0,0.8
100,2013,3,5,3,60.0,75.0,20.0,36.0,1100.0,95.0,0.2
101,2013,3,5,4,46.0,54.0,40.0,75.0,2299.0,95.0,-0.1
102,2013,3,5,5,72.0,113.0,33.0,61.0,1600.0,95.0,-0.4
103,2013,3,5,6,56.0,78.0,31.0,53.0,1100.0,95.0,-1.0
104,2013,3,5,7,51.0,66.0,34.0,69.0,2000.0,95.0,1.2
105,2013,3,5,8,68.0,105.0,40.0,66.0,1600.0,95.0,6.0
106,2013,3,5,9,68.0,92.0,64.0,75.0,1899.0,95.0,7.8
107,2013,3,5,10,87.0,117.0,81.0,92.0,2000.0,95.0,9.3
108,2013,3,5,11,107.0,160.0,66.0,80.0,1500.0,95.0,11.0
109,2013,3,5,12,109.0,139.0,52.0,65.0,1399.0,55.0,12.1
110,2013,3,5,13,118.0,133.0,56.0,55.0,1300.0,95.0,13.2
111,2013,3,5,14,126.0,127.0,57.0,60.0,1300.0,95.0,14.1
112,2013,3,5,15,124.0,129.0,62.0,76.0,1500.0,92.0,13.5
113,2013,3,5,16,149.0,153.0,59.0,81.0,1500.0,86.0,13.3
114,2013,3,5,17,151.0,158.0,74.0,104.0,1600.0,81.0,12.4
115,2013,3,5,18,158.0,168.0,64.0,106.0,1700.0,81.0,8.9
116,2013,3,5,19,161.0,172.0,69.0,123.0,1899.0,81.0,7.7
117,2013,3,5,20,173.0,187.0,68.0,127.0,2299.0,81.0,6.3
118,2013,3,5,21,191.0,210.0,55.0,94.0,2100.0,81.0,5.6
119,2013,3,5,22,181.0,183.0,52.0,78.0,1899.0,81.0,4.9
120,2013,3,5,23,141.0,160.0,50.0,74.0,1899.0,81.0,3.7
121,2013,3,6,0,152.0,154.0,65.0,115.0,2700.0,81.0,3.9
122,2013,3,6,1,180.0,195.0,52.0,72.0,2000.0,81.0,3.9
123,2013,3,6,2,146.0,153.0,,100.0,2399.0,81.0,3.5
124,2013,3,6,3,170.0,179.0,55.0,74.0,,81.0,3.7
125,2013,3,6,4,149.0,155.0,59.0,,2500.0,81.0,2.4
126,2013,3,6,5,182.0,202.0,79.0,101.0,2500.0,81.0,2.1
127,2013,3,6,6,182.0,187.0,86.0,94.0,2399.0,81.0,3.1
128,2013,3,6,7,187.0,190.0,82.0,93.0,2700.0,81.0,4.7
129,2013,3,6,8,195.0,200.0,86.0,85.0,2299.0,81.0,5.5
130,2013,3,6,9,193.0,200.0,81.0,86.0,2799.0,81.0,7.2
131,2013,3,6,10,200.0,219.0,109.0,114.0,3600.0,81.0,8.8
132,2013,3,6,11,239.0,280.0,123.0,126.0,3700.0,81.0,10.6
133,2013,3,6,12,271.0,324.0,142.0,142.0,3799.0,81.0,12.4
134,2013,3,6,13,281.0,315.0,118.0,135.0,3399.0,81.0,13.4
135,2013,3,6,14,263.0,284.0,121.0,152.0,3600.0,81.0,13.6
136,2013,3,6,15,293.0,347.0,118.0,160.0,3299.0,81.0,13.6
137,2013,3,6,16,302.0,352.0,112.0,158.0,3100.0,66.0,13.3
138,2013,3,6,17,312.0,342.0,107.0,141.0,2700.0,60.0,12.0
139,2013,3,6,18,280.0,300.0,110.0,135.0,2600.0,39.0,10.6
140,2013,3,6,19,265.0,281.0,104.0,137.0,2700.0,37.0,7.1
141,2013,3,6,20,268.0,285.0,107.0,136.0,3299.0,37.0,6.2
142,2013,3,6,21,272.0,281.0,136.0,156.0,4799.0,37.0,5.5
143,2013,3,6,22,339.0,394.0,118.0,148.0,5500.0,35.0,4.7
144,2013,3,6,23,326.0,360.0,113.0,140.0,4500.0,30.0,4.5
145,2013,3,7,0,282.0,287.0,98.0,131.0,3899.0,30.0,5.3
146,2013,3,7,1,206.0,249.0,77.0,117.0,3399.0,22.0,6.2
147,2013,3,7,2,227.0,228.0,80.0,111.0,3000.0,22.0,3.0
148,2013,3,7,3,208.0,211.0,72.0,105.0,2899.0,22.0,1.4
149,2013,3,7,4,198.0,200.0,73.0,110.0,3700.0,22.0,1.3
150,2013,3,7,5,201.0,215.0,67.0,108.0,4700.0,22.0,1.0
151,2013,3,7,6,202.0,234.0,72.0,102.0,4400.0,22.0,0.2
152,2013,3,7,7,175.0,206.0,65.0,95.0,4400.0,22.0,4.9
153,2013,3,7,8,143.0,180.0,114.0,96.0,5099.0,22.0,7.0
154,2013,3,7,9,140.0,200.0,92.0,114.0,4599.0,22.0,8.9
155,2013,3,7,10,169.0,240.0,138.0,150.0,4200.0,22.0,12.5
156,2013,3,7,11,225.0,309.0,100.0,111.0,2299.0,22.0,15.0
157,2013,3,7,12,174.0,183.0,58.0,62.0,1300.0,41.0,16.3
158,2013,3,7,13,71.0,82.0,46.0,53.0,1100.0,65.0,17.3
159,2013,3,7,14,83.0,88.0,53.0,98.0,1600.0,65.0,16.6
160,2013,3,7,15,137.0,133.0,73.0,177.0,2500.0,65.0,16.8
161,2013,3,7,16,207.0,230.0,81.0,186.0,2899.0,65.0,16.6
162,2013,3,7,17,258.0,285.0,80.0,163.0,2799.0,65.0,14.5
163,2013,3,7,18,264.0,298.0,77.0,141.0,2500.0,65.0,12.5
164,2013,3,7,19,241.0,247.0,105.0,191.0,3200.0,21.0,11.8
165,2013,3,7,20,256.0,286.0,98.0,199.0,3399.0,65.0,9.8
166,2013,3,7,21,262.0,282.0,96.0,171.0,3000.0,65.0,7.9
167,2013,3,7,22,238.0,241.0,82.0,166.0,3799.0,65.0,8.1
168,2013,3,7,23,249.0,261.0,70.0,145.0,3500.0,65.0,6.8
169,2013,3,8,0,224.0,238.0,60.0,132.0,3200.0,65.0,5.9
170,2013,3,8,1,216.0,227.0,68.0,140.0,5299.0,65.0,4.4
171,2013,3,8,2,263.0,292.0,71.0,141.0,6299.0,65.0,4.0
172,2013,3,8,3,290.0,328.0,68.0,131.0,5000.0,65.0,4.5
173,2013,3,8,4,257.0,273.0,63.0,125.0,4700.0,65.0,16.7
174,2013,3,8,5,233.0,235.0,57.0,105.0,3299.0,65.0,15.4
175,2013,3,8,6,193.0,211.0,30.0,36.0,700.0,65.0,12.7
176,2013,3,8,7,72.0,135.0,44.0,85.0,1500.0,65.0,14.9
177,2013,3,8,8,79.0,159.0,46.0,84.0,1700.0,65.0,11.2
178,2013,3,8,9,85.0,182.0,66.0,87.0,2399.0,65.0,14.5
179,2013,3,8,10,180.0,257.0,59.4048,94.0274,,65.0,17.3
180,2013,3,8,11,207.0,264.0,63.0,96.0,2200.0,65.0,19.3
181,2013,3,8,12,179.0,222.0,43.0,76.0,1700.0,67.0,20.6
182,2013,3,8,13,153.0,202.0,37.0,75.0,1500.0,77.0,21.9
183,2013,3,8,14,159.0,244.0,40.0,88.0,1600.0,86.0,17.6
184,2013,3,8,15,443.0,653.0,80.0,141.0,4500.0,107.0,14.8
185,2013,3,8,16,289.0,438.0,83.0,86.0,2899.0,107.0,13.1
186,2013,3,8,17,173.0,252.0,73.0,65.0,1899.0,107.0,11.7
187,2013,3,8,18,141.0,213.0,69.0,65.0,1500.0,107.0,10.4
188,2013,3,8,19,112.0,182.0,58.0,62.0,1399.0,107.0,9.4
189,2013,3,8,20,113.0,158.0,63.0,67.0,1300.0,107.0,8.6
190,2013,3,8,21,117.0,138.0,62.0,69.0,1100.0,107.0,7.6
191,2013,3,8,22,99.0,118.0,50.0,59.0,1300.0,107.0,6.8
192,2013,3,8,23,100.0,132.0,50.0,63.0,1600.0,107.0,5.6
193,2013,3,9,0,100.0,133.0,56.0,65.0,1700.0,107.0,4.3
194,2013,3,9,1,96.0,103.0,53.0,50.0,1700.0,107.0,3.9
195,2013,3,9,2,102.0,132.0,36.0,51.0,1800.0,107.0,3.0
196,2013,3,9,3,107.0,128.0,28.0,43.0,1500.0,107.0,2.4
197,2013,3,9,4,97.0,112.0,33.0,40.0,1399.0,107.0,1.9
198,2013,3,9,5,104.0,123.0,51.0,73.0,1700.0,107.0,2.0
199,2013,3,9,6,106.0,128.0,62.0,87.0,1700.0,107.0,1.8
200,2013,3,9,7,104.0,131.0,65.0,83.0,1899.0,107.0,6.0
201,2013,3,9,8,116.0,162.0,82.0,91.0,2200.0,107.0,14.2
202,2013,3,9,9,142.0,366.0,86.0,63.0,1700.0,107.0,16.8
203,2013,3,9,10,106.0,579.0,34.0,26.0,900.0,107.0,14.4
204,2013,3,9,11,28.0,305.0,8.0,11.0,400.0,107.0,12.9
205,2013,3,9,12,35.0,595.0,3.0,4.0,300.0,107.0,10.7
206,2013,3,9,13,20.0,438.0,3.0,4.0,300.0,107.0,9.6
207,2013,3,9,14,21.0,360.0,3.0,5.0,300.0,107.0,10.3
208,2013,3,9,15,22.0,260.0,4.0,7.0,300.0,97.0,10.3
209,2013,3,9,16,9.0,191.0,8.0,8.0,300.0,94.0,9.2
210,2013,3,9,17,13.0,196.0,3.0,7.0,300.0,94.0,7.7
211,2013,3,9,18,15.0,110.0,6.0,9.0,300.0,94.0,6.6
212,2013,3,9,19,13.0,83.0,17.0,13.0,400.0,94.0,5.7
213,2013,3,9,20,12.0,64.0,13.0,10.0,300.0,94.0,5.0
214,2013,3,9,21,8.0,55.0,18.0,12.0,300.0,94.0,4.8
215,2013,3,9,22,14.0,29.0,3.0,7.0,400.0,94.0,3.8
216,2013,3,9,23,8.0,22.0,3.0,8.0,400.0,94.0,3.4
217,2013,3,10,0,12.0,20.0,3.0,10.0,500.0,94.0,4.4
218,2013,3,10,1,13.0,19.0,7.0,14.0,500.0,94.0,4.9
219,2013,3,10,2,10.0,11.0,8.0,15.0,600.0,94.0,4.5
220,2013,3,10,3,3.0,7.0,9.0,24.0,,94.0,4.1
221,2013,3,10,4,3.0,8.0,11.0,24.0,400.0,94.0,4.7
222,2013,3,10,5,3.0,14.0,19.0,19.0,300.0,94.0,4.3
223,2013,3,10,6,10.0,13.0,22.0,20.0,300.0,94.0,3.6
224,2013,3,10,7,12.0,18.0,27.0,43.0,500.0,94.0,5.7
225,2013,3,10,8,20.0,46.0,31.0,67.0,1100.0,94.0,8.0
226,2013,3,10,9,16.0,17.0,14.0,31.0,600.0,94.0,9.4
227,2013,3,10,10,6.0,10.0,9.0,16.0,400.0,94.0,10.6
228,2013,3,10,11,12.0,32.0,14.0,25.0,400.0,94.0,10.4
229,2013,3,10,12,21.0,48.0,12.0,24.0,400.0,94.0,11.3
230,2013,3,10,13,20.0,36.0,11.0,20.0,500.0,94.0,12.1
231,2013,3,10,14,22.0,37.0,12.0,19.0,400.0,92.0,11.9
232,2013,3,10,15,27.0,45.0,11.0,19.0,400.0,103.0,11.7
233,2013,3,10,16,40.0,69.0,13.0,22.0,400.0,103.0,10.9
234,2013,3,10,17,41.0,75.0,30.0,28.0,500.0,103.0,9.5
235,2013,3,10,18,47.0,82.0,58.0,44.0,500.0,103.0,8.8
236,2013,3,10,19,51.0,102.0,30.0,44.0,600.0,103.0,7.2
237,2013,3,10,20,69.0,118.0,29.0,73.0,900.0,103.0,5.8
238,2013,3,10,21,80.0,118.0,35.0,68.0,1100.0,103.0,4.7
239,2013,3,10,22,95.0,131.0,42.0,81.0,1300.0,103.0,4.2
240,2013,3,10,23,93.0,127.0,41.0,73.0,1300.0,103.0,2.3
241,2013,3,11,0,79.0,107.0,34.0,53.0,1100.0,103.0,1.6
242,2013,3,11,1,69.0,89.0,26.0,38.0,1000.0,103.0,0.5
243,2013,3,11,2,91.0,137.0,36.0,81.0,2100.0,103.0,0.1
244,2013,3,11,3,78.0,102.0,34.0,58.0,1200.0,103.0,-1.4
245,2013,3,11,4,76.0,98.0,32.0,59.0,1300.0,103.0,-2.0
246,2013,3,11,5,91.0,141.0,31.0,83.0,2299.0,103.0,-1.8
247,2013,3,11,6,98.0,164.0,37.0,78.0,2100.0,103.0,-1.7
248,2013,3,11,7,83.0,109.0,34.0,73.0,1399.0,103.0,-0.2
249,2013,3,11,8,114.0,173.0,53.0,79.0,2299.0,103.0,2.7
250,2013,3,11,9,120.0,186.0,67.0,82.0,2100.0,103.0,4.9
251,2013,3,11,10,125.0,180.0,96.0,85.0,1800.0,103.0,6.3
252,2013,3,11,11,117.0,153.0,70.0,66.0,1399.0,103.0,6.8
253,2013,3,11,12,129.0,153.0,78.0,70.0,1500.0,103.0,8.3
254,2013,3,11,13,128.0,153.0,75.0,74.0,1399.0,103.0,9.0
255,2013,3,11,14,150.0,181.0,85.0,97.0,1700.0,103.0,9.8
256,2013,3,11,15,152.0,170.0,89.0,102.0,1600.0,103.0,10.0
257,2013,3,11,16,150.0,172.0,103.0,105.0,1500.0,96.0,10.0
258,2013,3,11,17,148.0,173.0,119.0,105.0,1500.0,75.0,9.8
259,2013,3,11,18,148.0,187.0,131.0,96.0,1700.0,72.0,9.7
260,2013,3,11,19,155.0,222.0,160.0,115.0,2000.0,47.0,9.5
261,2013,3,11,20,169.0,233.0,164.0,118.0,2299.0,47.0,9.4
262,2013,3,11,21,174.0,223.0,146.0,111.0,2200.0,47.0,9.4
263,2013,3,11,22,172.0,223.0,115.0,104.0,2000.0,47.0,9.2
264,2013,3,11,23,159.0,202.0,84.0,104.0,1700.0,47.0,8.8
265,2013,3,12,0,150.0,189.0,74.0,102.0,1600.0,47.0,8.3
266,2013,3,12,1,132.0,168.0,64.0,94.0,1500.0,42.0,7.7
267,2013,3,12,2,123.0,157.0,58.0,84.0,1600.0,42.0,7.7
268,2013,3,12,3,121.0,150.0,65.0,82.0,1500.0,42.0,6.3
269,2013,3,12,4,130.0,154.0,65.0,82.0,1600.0,42.0,6.2
270,2013,3,12,5,126.0,164.0,54.0,84.0,1899.0,42.0,5.3
271,2013,3,12,6,124.0,168.0,56.0,85.0,1800.0,42.0,3.4
272,2013,3,12,7,124.0,125.0,17.0,82.0,1800.0,42.0,3.1
273,2013,3,12,8,100.0,106.0,16.0,81.0,1700.0,42.0,2.7
274,2013,3,12,9,122.0,106.0,17.0,75.0,1700.0,42.0,3.1
275,2013,3,12,10,129.0,102.0,16.0,74.0,1700.0,42.0,3.6
276,2013,3,12,11,119.0,137.0,16.0,83.0,2200.0,42.0,3.8
277,2013,3,12,12,150.0,138.0,20.0,81.0,1899.0,42.0,4.4
278,2013,3,12,13,136.0,107.0,35.0,78.0,1600.0,34.0,5.0
279,2013,3,12,14,128.0,139.0,45.0,80.0,1899.0,34.0,5.3
280,2013,3,12,15,156.0,167.0,34.0,85.0,2000.0,34.0,6.3
281,2013,3,12,16,180.0,188.0,39.0,88.0,2299.0,32.0,6.7
282,2013,3,12,17,210.0,188.0,45.0,96.0,2299.0,29.0,6.6
283,2013,3,12,18,201.0,174.0,40.0,95.0,2200.0,10.0,5.5
284,2013,3,12,19,203.0,177.0,72.0,95.0,2299.0,8.0,4.0
285,2013,3,12,20,185.0,192.0,33.0,98.0,2600.0,8.0,4.6
286,2013,3,12,21,203.0,193.0,51.0,91.0,2799.0,8.0,5.6
287,2013,3,12,22,47.0,47.0,42.0,31.0,700.0,45.0,5.0
288,2013,3,12,23,9.0,9.0,45.0,16.0,400.0,68.0,4.3
289,2013,3,13,0,3.0,6.0,37.0,12.0,300.0,74.0,3.0
290,2013,3,13,1,13.0,6.0,12.0,6.0,400.0,79.0,2.6
291,2013,3,13,2,8.0,8.0,7.0,7.0,400.0,79.0,2.5
292,2013,3,13,3,6.0,6.0,5.0,7.0,300.0,80.0,1.6
293,2013,3,13,4,7.0,11.0,13.0,34.0,400.0,80.0,2.0
294,2013,3,13,5,3.0,8.0,19.0,38.0,400.0,80.0,0.0
295,2013,3,13,6,3.0,10.0,17.0,30.0,500.0,80.0,0.6
296,2013,3,13,7,3.0,8.0,18.0,37.0,600.0,80.0,3.3
297,2013,3,13,8,3.0,6.0,10.0,22.0,400.0,80.0,4.5
298,2013,3,13,9,8.0,6.0,9.0,13.0,300.0,80.0,5.5
299,2013,3,13,10,3.0,6.0,16.0,12.0,300.0,81.0,6.3
300,2013,3,13,11,3.0,6.0,6.0,10.0,300.0,85.0,7.4
301,2013,3,13,12,3.0,6.0,7.0,10.0,300.0,85.0,8.2
302,2013,3,13,13,3.0,6.0,9.0,11.0,300.0,85.0,9.2
303,2013,3,13,14,14.0,6.0,8.0,11.0,300.0,88.0,9.6
304,2013,3,13,15,3.0,9.0,6.0,11.0,300.0,90.0,10.0
305,2013,3,13,16,3.0,6.0,8.0,11.0,300.0,92.0,8.2
306,2013,3,13,17,17.0,22.0,8.0,19.0,300.0,92.0,7.1
307,2013,3,13,18,17.0,24.0,11.0,25.0,400.0,92.0,6.1
308,2013,3,13,19,26.0,39.0,9.0,35.0,500.0,92.0,5.3
309,2013,3,13,20,42.0,48.0,16.0,45.0,700.0,92.0,4.4
310,2013,3,13,21,38.0,49.0,15.0,52.0,700.0,92.0,3.5
311,2013,3,13,22,39.0,58.0,19.0,67.0,800.0,92.0,1.5
312,2013,3,13,23,50.0,64.0,25.0,75.0,1000.0,92.0,1.4
313,2013,3,14,0,54.0,64.0,24.0,73.0,1100.0,92.0,2.5
314,2013,3,14,1,61.0,77.0,31.0,83.0,1100.0,92.0,1.4
315,2013,3,14,2,76.0,112.0,31.0,77.0,1500.0,92.0,0.6
316,2013,3,14,3,80.0,88.0,23.0,69.0,,92.0,0.0
317,2013,3,14,4,73.0,75.0,21.0,69.0,1500.0,92.0,-0.4
318,2013,3,14,5,58.0,66.0,25.0,54.0,1399.0,92.0,-0.8
319,2013,3,14,6,56.0,66.0,28.0,52.0,1300.0,92.0,-1.6
320,2013,3,14,7,56.0,71.0,27.0,56.0,1399.0,92.0,-0.5
321,2013,3,14,8,80.0,88.0,41.0,60.0,1600.0,92.0,1.1
322,2013,3,14,9,98.0,121.0,58.0,67.0,1800.0,92.0,2.1
323,2013,3,14,10,112.0,131.0,61.0,66.0,1800.0,92.0,3.5
324,2013,3,14,11,117.0,134.0,68.0,61.0,1500.0,92.0,4.8
325,2013,3,14,12,97.0,111.0,51.0,48.0,1300.0,92.0,5.9
326,2013,3,14,13,100.0,115.0,43.0,49.0,1300.0,92.0,6.9
327,2013,3,14,14,110.0,131.0,43.0,61.0,1399.0,92.0,8.0
328,2013,3,14,15,144.0,153.0,46.0,81.0,1500.0,92.0,8.2
329,2013,3,14,16,158.0,160.0,53.0,87.0,1500.0,86.0,8.3
330,2013,3,14,17,152.0,157.0,64.0,87.0,1399.0,77.0,7.8
331,2013,3,14,18,147.0,152.0,65.0,91.0,1399.0,62.0,7.3
332,2013,3,14,19,160.0,169.0,68.0,109.0,1500.0,50.0,6.5
333,2013,3,14,20,162.0,173.0,75.0,109.0,1600.0,50.0,3.9
334,2013,3,14,21,175.0,179.0,61.0,108.0,1800.0,50.0,3.2
335,2013,3,14,22,158.0,161.0,68.0,95.0,1899.0,50.0,3.4
336,2013,3,14,23,132.0,146.0,58.0,79.0,1700.0,50.0,1.6
337,2013,3,15,0,127.0,142.0,57.0,72.0,1600.0,50.0,0.9
338,2013,3,15,1,128.0,140.0,49.0,80.0,1800.0,50.0,0.2
339,2013,3,15,2,162.0,168.0,42.0,84.0,2399.0,50.0,0.1
340,2013,3,15,3,136.0,137.0,40.0,75.0,1899.0,50.0,-0.3
341,2013,3,15,4,130.0,131.0,42.0,68.0,1500.0,50.0,-0.3
342,2013,3,15,5,128.0,133.0,42.0,71.0,1600.0,50.0,-0.2
343,2013,3,15,6,128.0,132.0,42.0,71.0,1600.0,50.0,-0.3
344,2013,3,15,7,130.0,136.0,42.0,67.0,1500.0,50.0,1.6
345,2013,3,15,8,132.0,151.0,55.0,63.0,1600.0,50.0,3.9
346,2013,3,15,9,145.0,174.0,79.0,75.0,2100.0,50.0,6.2
347,2013,3,15,10,145.0,174.0,80.0,75.0,2700.0,10.0,7.6
348,2013,3,15,11,204.0,208.0,88.0,87.0,1899.0,17.0,8.8
349,2013,3,15,12,173.0,192.0,87.0,80.0,1600.0,33.0,10.0
350,2013,3,15,13,176.0,207.0,86.0,76.0,1600.0,50.0,11.0
