PRES,DEWP,RAIN,wd,WSPM,station
1003.4,-4.7,0.0,NW,0.8,Changping
1002.5,-4.3,0.0,SE,1.2,Changping
1001.8,-4.1,0.0,S,2.3,Changping
1001.9,-3.7,0.0,ESE,2.2,Changping
1002.2,-3.9,0.0,ESE,1.6,Changping
1002.7,-3.8,0.0,SE,1.3,Changping
1003.7,-3.9,0.0,SSW,1.2,Changping
1004.5,-3.5,0.0,NNW,1.4,Changping
1004.9,-3.5,0.0,SE,0.7,Changping
1004.5,-3.6,0.0,ENE,0.6,Changping
1004.3,-3.6,0.0,E,0.7,Changping
1004.1,-3.3,0.0,S,0.9,Changping
1004.2,-3.3,0.0,ENE,0.7,Changping
1004.2,-3.2,0.0,E,1.4,Changping
1003.8,-3.8,0.0,SW,0.5,Changping
1003.6,-4.3,0.0,SW,1.0,Changping
1003.5,-5.0,0.0,WNW,1.8,Changping
1003.7,-5.3,0.0,NNE,1.5,Changping
1003.6,-5.4,0.0,NNE,1.0,Changping
1003.6,-4.4,0.0,N,0.1,Changping
1003.4,-3.6,0.0,SSW,1.4,Changping
1003.2,-3.7,0.0,SSE,1.0,Changping
1002.1,-5.5,0.0,SE,1.1,Changping
1000.3,-4.9,0.0,SE,0.8,Changping
998.4,-4.3,0.0,ESE,1.5,Changping
996.7,-4.1,0.0,SSW,1.4,Changping
995.5,-3.5,0.0,ESE,1.2,Changping
994.7,-3.4,0.0,ENE,1.0,Changping
994.1,-3.5,0.0,ENE,0.8,Changping
993.9,-3.3,0.0,NE,0.7,Changping
994.5,-3.4,0.0,N,0.5,Changping
994.7,-3.2,0.0,ENE,0.8,Changping
994.6,-2.8,0.0,NNW,0.6,Changping
995.1,-3.0,0.0,NNE,1.2,Changping
995.1,-3.4,0.0,ENE,0.9,Changping
995.0,-3.2,0.0,NE,1.3,Changping
995.3,-3.0,0.0,NE,0.0,Changping
995.6,-3.2,0.0,E,0.8,Changping
995.2,-3.5,0.0,ENE,0.6,Changping
994.7,-3.1,0.0,SE,1.4,Changping
994.9,-5.8,0.0,NW,5.2,Changping
995.6,-6.2,0.0,SE,0.7,Changping
996.2,-5.4,0.0,ESE,1.7,Changping
996.7,-5.5,0.0,NE,1.3,Changping
997.8,-4.1,0.0,ESE,1.7,Changping
997.9,-2.9,0.0,SSW,1.7,Changping
997.3,-3.5,0.0,SE,1.4,Changping
996.7,-3.6,0.0,ESE,2.1,Changping
995.8,-3.9,0.0,ESE,2.5,Changping
994.7,-4.3,0.0,SE,3.0,Changping
995.0,1.5,0.0,ESE,4.5,Changping
996.1,0.2,0.0,S,2.5,Changping
996.5,-0.2,0.0,ESE,4.0,Changping
996.5,-0.5,0.0,SE,3.4,Changping
997.4,-1.0,0.0,SE,2.7,Changping
997.3,-0.8,0.0,ESE,2.7,Changping
997.1,-1.5,0.0,ESE,2.8,Changping
996.9,-2.4,0.0,ESE,1.8,Changping
996.0,-3.2,0.0,ESE,1.3,Changping
994.5,-3.0,0.0,ESE,0.7,Changping
993.1,-3.0,0.0,NNE,1.2,Changping
991.9,-2.5,0.0,NNE,0.0,Changping
991.2,-2.7,0.0,N,0.7,Changping
989.8,-2.9,0.0,NNW,1.2,Changping
988.9,-3.0,0.0,NNE,0.7,Changping
989.2,-3.3,0.0,NNE,0.5,Changping
989.0,-3.3,0.0,NNW,0.4,Changping
990.5,-2.1,0.0,NE,2.4,Changping
992.3,-1.5,0.0,NE,2.5,Changping
993.8,-2.3,0.0,NNW,6.2,Changping
996.8,-7.1,0.0,ENE,7.8,Changping
999.1,-11.6,0.0,NE,5.6,Changping
1001.8,-15.8,0.0,NE,4.9,Changping
1003.9,-18.5,0.0,N,6.0,Changping
1005.2,-17.9,0.0,NE,4.5,Changping
1006.3,-17.9,0.0,NE,5.6,Changping
1008.0,-18.8,0.0,NNE,7.1,Changping
1010.2,-20.0,0.0,N,5.1,Changping
1013.1,-19.9,0.0,N,5.2,Changping
1015.1,-19.8,0.0,NNE,3.3,Changping
1017.0,-19.6,0.0,NNE,2.5,Changping
1017.7,-19.7,0.0,NNE,3.3,Changping
1018.1,-19.8,0.0,N,1.2,Changping
1018.0,-20.1,0.0,NE,1.1,Changping
1017.8,-20.1,0.0,NW,2.0,Changping
1018.1,-20.4,0.0,NW,3.0,Changping
1017.9,-20.0,0.0,NW,3.3,Changping
1018.1,-20.3,0.0,NW,2.5,Changping
1018.6,-19.8,0.0,NW,3.0,Changping
1018.8,-20.1,0.0,NW,3.3,Changping
1018.9,-18.6,0.0,ESE,1.2,Changping
1019.8,-19.0,0.0,WNW,3.3,Changping
1019.8,-18.8,0.0,NW,2.8,Changping
1019.2,-18.7,0.0,NNW,3.2,Changping
1018.4,-16.8,0.0,S,2.5,Changping
1018.1,-16.9,0.0,SE,2.0,Changping
1017.1,-17.2,0.0,S,3.6,Changping
1016.0,-16.5,0.0,SSW,2.8,Changping
1015.1,-15.7,0.0,S,3.7,Changping
1014.7,-15.9,0.0,S,4.2,Changping
1014.5,-14.8,0.0,SSW,1.2,Changping
1014.6,-15.1,0.0,SSW,3.2,Changping
1015.1,-13.6,0.0,ESE,1.6,Changping
1015.5,-13.1,0.0,ESE,1.3,Changping
1015.7,-12.8,0.0,E,0.8,Changping
1015.7,-12.3,0.0,ENE,1.0,Changping
1015.5,-12.3,0.0,E,0.0,Changping
1015.4,-12.4,0.0,ESE,0.8,Changping
1015.2,-11.6,0.0,E,0.0,Changping
1015.0,-11.6,0.0,NE,0.5,Changping
1014.3,-11.3,0.0,NNW,0.9,Changping
1014.1,-10.8,0.0,N,0.9,Changping
1014.0,-10.8,0.0,NW,1.0,Changping
1013.5,-10.9,0.0,ESE,0.6,Changping
1014.0,-10.3,0.0,SE,0.6,Changping
1014.3,-9.6,0.0,N,1.4,Changping
1014.2,-10.6,0.0,W,1.0,Changping
1013.7,-9.7,0.0,SSW,0.9,Changping
1012.9,-8.4,0.0,SE,2.2,Changping
1011.7,-8.8,0.0,ESE,1.8,Changping
1010.4,-9.2,0.0,ESE,0.9,Changping
1009.2,-8.1,0.0,SE,1.2,Changping
1007.8,-7.9,0.0,SSW,1.4,Changping
1007.0,-7.7,0.0,ESE,1.5,Changping
1006.2,-7.7,0.0,SE,1.8,Changping
1006.1,-7.0,0.0,ESE,1.9,Changping
1006.7,-6.2,0.0,SE,1.8,Changping
1006.9,-6.4,0.0,ESE,1.1,Changping
1007.2,-6.1,0.0,ESE,1.8,Changping
1006.7,-3.9,0.0,ESE,1.2,Changping
1006.1,-3.4,0.0,ESE,1.7,Changping
1005.0,-4.1,0.0,ESE,2.1,Changping
1004.4,-4.5,0.0,ESE,1.9,Changping
1003.7,-4.4,0.0,ESE,1.1,Changping
1003.7,-4.4,0.0,ENE,0.6,Changping
1003.2,-1.8,0.0,WNW,0.7,Changping
1003.1,-1.7,0.0,WSW,0.7,Changping
1003.2,-0.3,0.2,ESE,1.5,Changping
1003.6,0.8,1.5,NW,0.6,Changping
1004.0,1.3,0.3,NNW,1.2,Changping
1003.8,1.1,0.1,NNE,1.0,Changping
1003.3,1.6,0.0,SW,0.9,Changping
1003.6,2.0,0.0,SW,0.0,Changping
1003.7,1.8,0.0,SE,1.5,Changping
1003.9,2.3,0.0,W,1.3,Changping
1003.9,2.2,0.0,NNW,1.5,Changping
1004.3,2.8,0.0,NNW,1.6,Changping
1004.2,3.3,0.0,SW,2.1,Changping
1005.0,3.1,0.0,W,1.1,Changping
1006.2,3.2,0.0,W,0.0,Changping
1007.9,3.2,0.0,NE,1.1,Changping
1009.6,2.3,0.0,NNE,1.8,Changping
1011.4,-0.4,0.0,NNE,1.1,Changping
1012.9,-8.7,0.0,NNE,1.5,Changping
1014.1,-10.0,0.0,NE,2.3,Changping
1015.1,-10.6,0.0,NE,1.9,Changping
1016.0,-11.0,0.0,NNE,1.0,Changping
1016.4,-11.7,0.0,NNW,3.0,Changping
1016.4,-11.8,0.0,NNW,3.6,Changping
1016.8,-10.0,0.0,NW,2.0,Changping
1017.5,-10.9,0.0,NW,2.1,Changping
1018.3,-10.8,0.0,NNW,1.5,Changping
1019.3,-11.5,0.0,NE,1.2,Changping
1020.7,-14.9,0.0,NNE,1.6,Changping
1021.8,-18.5,0.0,N,3.6,Changping
1022.0,-18.4,0.0,NW,1.7,Changping
1022.0,-15.1,0.0,NW,3.1,Changping
1021.3,-15.4,0.0,WNW,2.1,Changping
1020.2,-16.2,0.0,WSW,1.2,Changping
1019.4,-16.2,0.0,WNW,4.3,Changping
1018.5,-16.7,0.0,NNW,3.7,Changping
1018.2,-14.0,0.0,SSW,2.9,Changping
1018.4,-13.5,0.0,SE,3.4,Changping
1018.9,-13.2,0.0,SE,2.0,Changping
1019.6,-13.5,0.0,ESE,2.3,Changping
1020.3,-13.2,0.0,ESE,1.7,Changping
1020.8,-12.6,0.0,ESE,0.7,Changping
1021.0,-11.3,0.0,ESE,0.8,Changping
1020.8,-10.0,0.0,ESE,0.8,Changping
1020.9,-9.3,0.0,ESE,0.8,Changping
1021.1,-8.8,0.0,ESE,3.0,Changping
1021.4,-4.7,0.0,ESE,2.9,Changping
1021.2,-4.8,0.0,ESE,2.8,Changping
1021.0,-5.0,0.0,E,1.2,Changping
1021.0,-5.6,0.0,ESE,1.7,Changping
1021.3,-5.6,0.0,ESE,1.3,Changping
1021.4,-5.3,0.0,WNW,1.4,Changping
1021.7,-5.1,0.0,WSW,0.9,Changping
1021.8,-5.0,0.0,NW,0.6,Changping
1021.2,-5.1,0.0,WSW,1.0,Changping
1020.2,-4.9,0.0,SW,1.8,Changping
1019.0,-4.8,0.0,SSW,2.2,Changping
1018.2,-4.6,0.0,ESE,1.5,Changping
1017.1,-4.2,0.0,ESE,2.0,Changping
1016.1,-3.8,0.0,SE,3.2,Changping
1015.2,-4.0,0.0,ENE,1.0,Changping
1014.8,-3.9,0.0,ESE,1.6,Changping
1014.9,-4.0,0.0,SE,1.1,Changping
1015.0,-3.9,0.0,ESE,1.6,Changping
1015.3,-3.5,0.0,ESE,1.0,Changping
1015.3,-4.1,0.0,ESE,0.0,Changping
1015.3,-4.1,0.0,E,0.0,Changping
1015.1,-3.9,0.0,E,0.8,Changping
1014.9,-3.9,0.0,N,1.4,Changping
1014.7,-3.8,0.0,NNW,1.0,Changping
1014.3,-3.7,0.0,N,0.8,Changping
1013.6,-3.8,0.0,NE,0.4,Changping
1013.3,-3.8,0.0,N,1.1,Changping
1013.1,-4.0,0.0,NNE,1.0,Changping
1013.1,-3.7,0.0,NNE,0.8,Changping
1012.9,-3.7,0.0,NNE,0.1,Changping
1013.4,-2.7,0.0,N,0.9,Changping
1013.2,-2.5,0.0,N,1.0,Changping
1012.6,-2.4,0.0,SW,1.3,Changping
1011.7,-2.7,0.0,ESE,0.9,Changping
1010.8,-2.5,0.0,SSW,2.0,Changping
1009.9,-2.3,0.0,SE,0.9,Changping
1008.7,-2.1,0.0,SE,0.9,Changping
1008.1,-2.1,0.0,SSW,1.4,Changping
1007.6,-2.0,0.0,E,1.6,Changping
1007.7,-1.4,0.0,E,1.1,Changping
1008.2,-1.8,0.0,ESE,1.5,Changping
1008.9,-1.4,0.0,ENE,0.6,Changping
1009.7,-1.1,0.0,E,0.1,Changping
1010.6,-1.4,0.0,N,0.2,Changping
1011.6,-1.3,0.0,NE,1.1,Changping
1012.3,-1.1,0.0,NNE,0.8,Changping
1012.6,-1.4,0.0,NNE,1.0,Changping
1012.7,-1.3,0.0,NE,0.7,Changping
1013.0,-1.3,0.0,NE,0.1,Changping
1013.2,-1.5,0.0,N,0.0,Changping
1014.1,-1.8,0.0,NNW,0.8,Changping
1014.6,-1.5,0.0,NW,0.1,Changping
1015.6,-1.4,0.0,ESE,1.5,Changping
1016.6,-1.4,0.0,N,1.3,Changping
1017.1,-0.8,0.0,ENE,1.3,Changping
1017.5,0.1,0.0,N,0.8,Changping
1017.5,0.1,0.0,SW,0.9,Changping
1017.1,-0.4,0.0,SSE,1.7,Changping
1016.1,-2.3,0.0,ESE,2.6,Changping
1014.9,-1.7,0.0,SE,1.1,Changping
1013.8,-2.2,0.0,SE,2.6,Changping
1013.1,-1.5,0.0,SSW,2.3,Changping
1012.3,-1.4,0.0,SSW,4.1,Changping
1011.5,0.1,0.0,SW,2.9,Changping
1011.2,0.8,0.0,SSW,1.9,Changping
1010.9,1.0,0.0,SSE,0.9,Changping
1011.2,1.1,0.0,ESE,1.4,Changping
1011.1,2.3,0.0,ESE,1.9,Changping
1010.6,2.6,0.0,SE,2.5,Changping
1009.9,2.2,0.0,ESE,1.6,Changping
1009.4,1.5,0.0,ENE,0.7,Changping
1008.8,1.0,0.0,E,0.6,Changping
1008.4,0.2,0.0,ESE,0.9,Changping
1006.0,0.4,0.0,SE,2.8,Changping
1005.7,0.2,0.0,ESE,0.6,Changping
1005.0,1.0,0.0,N,0.9,Changping
1004.5,1.0,0.0,N,0.4,Changping
1003.3,0.8,0.0,NNE,0.7,Changping
1002.7,1.1,0.0,WSW,0.5,Changping
1002.3,0.9,0.0,ESE,1.2,Changping
1001.6,0.8,0.0,E,1.5,Changping
1000.3,1.5,0.0,SW,0.8,Changping
998.8,1.8,0.0,SW,1.9,Changping
996.9,1.9,0.0,ESE,1.9,Changping
995.2,2.2,0.0,ESE,2.5,Changping
994.3,2.5,0.0,E,0.8,Changping
993.5,2.6,0.0,ESE,1.3,Changping
992.9,2.6,0.0,E,0.8,Changping
993.0,2.8,0.0,ESE,0.0,Changping
992.8,3.1,0.0,ESE,0.8,Changping
993.3,2.6,0.0,ENE,0.6,Changping
993.4,2.2,0.0,N,0.6,Changping
993.4,2.3,0.0,SE,0.4,Changping
993.0,2.0,0.0,NNE,1.0,Changping
993.4,1.7,0.0,ENE,1.5,Changping
993.8,-9.5,0.0,NE,3.7,Changping
994.3,-8.8,0.0,NNW,4.7,Changping
994.5,-9.4,0.0,N,3.6,Changping
994.8,-11.2,0.0,NNW,6.8,Changping
995.5,-8.0,0.0,NW,5.1,Changping
997.2,-8.6,0.0,N,2.7,Changping
999.0,-12.4,0.0,NNE,3.6,Changping
1000.1,-14.6,0.0,NE,3.1,Changping
1000.9,-17.5,0.0,NNW,4.6,Changping
1000.8,-18.5,0.0,NNW,2.8,Changping
1001.2,-17.7,0.0,ENE,1.7,Changping
1000.9,-16.2,0.0,SW,2.7,Changping
1000.0,-16.1,0.0,WNW,5.4,Changping
998.5,-16.8,0.0,WNW,4.1,Changping
997.2,-16.1,0.0,SSW,2.0,Changping
996.3,-15.5,0.0,W,1.4,Changping
996.1,-15.2,0.0,SW,3.9,Changping
996.4,-16.1,0.0,SSW,4.3,Changping
997.3,-5.1,0.0,SSW,4.4,Changping
998.8,-3.8,0.0,SSE,4.7,Changping
1000.0,-4.2,0.0,S,4.5,Changping
1000.5,-4.4,0.0,SSE,2.5,Changping
1001.1,-4.6,0.0,ESE,3.6,Changping
1002.4,-4.3,0.0,ESE,2.7,Changping
1003.0,-2.0,0.1,ESE,2.2,Changping
1003.1,-1.5,0.4,SE,2.7,Changping
1002.5,-1.9,0.0,SE,2.5,Changping
1003.0,-2.2,0.0,SE,2.1,Changping
1002.7,-2.6,0.0,ESE,1.0,Changping
1002.7,-2.4,0.0,WSW,0.7,Changping
1003.4,-2.5,0.0,WNW,0.7,Changping
1004.2,-2.2,0.0,N,1.3,Changping
1004.6,-2.8,0.0,NE,1.5,Changping
1005.1,-2.1,0.0,SE,0.4,Changping
1005.0,-1.2,0.0,E,0.1,Changping
1004.8,0.1,0.3,W,0.9,Changping
1004.5,0.7,0.2,WNW,0.8,Changping
1004.6,0.9,0.1,WNW,1.0,Changping
1004.7,1.4,0.0,N,0.8,Changping
1005.2,1.2,0.1,NNW,1.0,Changping
1006.2,1.4,0.4,SW,1.3,Changping
1006.9,0.8,0.5,SE,0.6,Changping
1008.3,0.7,0.5,S,1.3,Changping
1009.8,-0.2,1.8,ESE,1.2,Changping
1011.0,-0.3,1.5,SE,1.3,Changping
1011.8,-0.5,1.0,ESE,2.5,Changping
1012.7,-0.6,0.8,ESE,3.3,Changping
1013.3,-0.9,1.3,ESE,2.4,Changping
1014.4,-1.3,1.8,E,1.1,Changping
1015.3,-1.7,5.7,ESE,2.5,Changping
1015.4,-2.2,1.0,ESE,1.1,Changping
1015.7,-2.3,2.8,SE,0.4,Changping
1016.1,-3.7,0.7,N,0.0,Changping
1016.3,-4.9,0.0,N,0.2,Changping
1016.8,-5.8,0.0,N,0.0,Changping
1016.8,-6.1,0.0,NE,1.1,Changping
1017.5,-5.0,0.0,NNE,0.6,Changping
1017.7,-7.7,0.0,S,0.8,Changping
1016.9,-5.4,0.0,SSW,1.4,Changping
1016.0,-7.0,0.0,SE,2.7,Changping
1015.1,-9.4,0.0,NW,1.7,Changping
1013.8,-8.6,0.0,SSW,2.7,Changping
1013.0,-7.2,0.0,S,2.3,Changping
1012.1,-5.9,0.0,SSW,2.9,Changping
1011.6,-5.6,0.0,SSE,1.5,Changping
1011.2,-4.7,0.0,SSW,2.4,Changping
1010.9,-3.5,0.0,ESE,1.2,Changping
1010.8,-2.8,0.0,ESE,1.1,Changping
1010.5,-2.4,0.0,E,0.7,Changping
1010.2,-2.5,0.0,ENE,1.0,Changping
1009.6,-2.7,0.0,ENE,0.6,Changping
1008.7,-2.8,0.0,ESE,0.6,Changping
1008.1,-3.0,0.0,ESE,1.0,Changping
1007.6,-3.1,0.0,E,1.2,Changping
1006.7,-3.1,0.0,ESE,0.7,Changping
1005.7,-3.3,0.0,ESE,1.3,Changping
1005.4,-3.6,0.0,ESE,0.9,Changping
1004.8,-3.6,0.0,ENE,0.5,Changping
1004.3,-3.9,0.0,SE,0.7,Changping
1004.0,-4.3,0.0,ESE,0.9,Changping
1003.0,-3.4,0.0,NW,1.1,Changping
1002.3,-3.4,0.0,WNW,0.5,Changping
1001.3,-2.8,0.0,NW,1.1,Changping
1000.2,-2.5,0.0,SW,1.1,Changping
999.0,-2.9,0.0,NNW,1.2,Changping
998.1,-2.1,0.0,SW,1.3,Changping
997.1,-1.8,0.0,SW,2.1,Changping
996.8,-1.7,0.0,SE,0.9,Changping
996.7,-1.7,0.0,NNE,1.0,Changping
997.5,-1.1,0.0,N,0.7,Changping
998.6,-1.1,0.0,N,0.8,Changping
999.6,-0.7,0.0,N,0.0,Changping
1000.7,-0.3,0.0,N,0.2,Changping
1001.7,-0.4,0.0,N,1.6,Changping
1002.9,-0.4,0.0,SW,2.2,Changping
1003.7,-0.4,0.0,ENE,0.6,Changping
1004.6,-7.9,0.0,NNW,1.4,Changping
1005.7,-9.9,0.0,NE,1.1,Changping
1006.7,-11.3,0.0,NNE,1.7,Changping
1007.3,-12.8,0.0,NNW,1.2,Changping
1008.1,-14.4,0.0,NNW,1.5,Changping
1008.8,-10.5,0.0,N,0.0,Changping
1009.8,-10.4,0.0,SE,0.5,Changping
1010.7,-11.6,0.0,NNE,0.5,Changping
1011.1,-11.2,0.0,E,2.3,Changping
1011.0,-10.9,0.0,SE,4.2,Changping
1010.7,-9.9,0.0,SE,3.1,Changping
1009.8,-10.7,0.0,S,2.6,Changping
1008.9,-7.2,0.0,SSW,3.3,Changping
1008.1,-4.9,0.0,SSW,2.7,Changping
1007.6,-4.0,0.0,SW,2.2,Changping
1007.0,-3.6,0.0,SSW,3.9,Changping
1006.6,-3.5,0.0,SSW,2.6,Changping
1007.0,-3.3,0.0,SSW,2.7,Changping
1007.4,-3.7,0.0,SSE,1.1,Changping
1007.7,-3.3,0.0,ESE,2.0,Changping
1008.3,-4.0,0.0,ESE,2.2,Changping
1008.2,-4.1,0.0,ESE,4.5,Changping
1008.4,-4.4,0.0,ESE,3.6,Changping
1008.0,-4.3,0.0,ESE,3.7,Changping
1007.6,-3.9,0.0,ESE,3.4,Changping
1006.9,-3.9,0.0,ESE,4.0,Changping
1006.2,-4.0,0.0,ESE,1.8,Changping
1005.5,-4.0,0.0,ESE,3.4,Changping
1005.2,-3.9,0.0,ESE,2.6,Changping
1004.7,-3.6,0.0,ESE,2.5,Changping
1004.5,-3.5,0.0,ESE,2.8,Changping
1003.5,-3.6,0.0,ESE,2.2,Changping
1002.8,-4.3,0.0,ESE,2.1,Changping
1002.9,-5.8,0.0,ESE,1.7,Changping
1002.9,-7.0,0.0,W,0.7,Changping
1001.5,-4.8,0.0,SE,1.4,Changping
1001.1,-4.3,0.0,WSW,2.0,Changping
1000.5,-4.2,0.0,ESE,1.5,Changping
1000.4,-4.1,0.0,SE,1.2,Changping
1001.6,-7.8,0.0,ENE,3.3,Changping
1003.9,-8.9,0.0,NE,4.4,Changping
1005.8,-10.6,0.0,NNE,4.7,Changping
1007.7,-12.1,0.0,NE,3.2,Changping
1010.0,-13.4,0.0,ENE,1.9,Changping
1011.4,-15.2,0.0,NE,2.0,Changping
1012.6,-16.0,0.0,ENE,1.7,Changping
1013.2,-15.5,0.0,NNE,3.9,Changping
1014.0,-16.3,0.0,NE,1.0,Changping
1014.7,-15.0,0.0,N,1.0,Changping
1015.1,-14.7,0.0,NE,0.8,Changping
1015.1,-15.3,0.0,NNW,2.3,Changping
1015.2,-15.9,0.0,NNW,2.7,Changping
